adcp_time_utc,gps_lat,gps_lon,VelE_bin1,VelN_bin1,VelE_bin2,VelN_bin2,VelE_bin3,VelN_bin3
2024-06-15 09:00:12,56.526454,-5.389598,0.1694,0.0643,0.1517,0.0945,0.2162,0.068
2024-06-15 09:02:20,56.49951,-5.403083,0.1201,0.0757,0.1784,0.1451,0.1187,0.1044
2024-06-15 09:04:07,56.517516,-5.426965,0.2108,0.0571,0.2514,0.0556,0.1892,0.0599
2024-06-15 09:07:00,56.514282,-5.417175,0.14,0.0717,0.0974,0.1389,0.1901,0.1377
2024-06-15 09:09:00,56.51275,-5.40462,0.2977,0.0494,0.1455,0.0743,0.2413,0.119
2024-06-15 09:09:33,56.538435,-5.395249,0.0684,0.0432,0.2086,0.0814,0.0939,0.0721
2024-06-15 09:10:43,56.497872,-5.372353,0.1451,0.0606,0.0975,0.0363,0.1612,0.0818
2024-06-15 09:11:33,56.534514,-5.415227,0.0874,0.0334,0.1139,0.0874,0.081,0.0637
2024-06-15 09:16:29,56.500213,-5.387028,0.1462,0.0917,0.1561,0.0517,0.1594,0.126
2024-06-15 09:16:57,56.493627,-5.402503,0.2703,0.0576,0.1893,0.0795,0.1693,0.1456
2024-06-15 09:20:51,56.534043,-5.377244,0.1103,0.066,0.1828,0.0233,0.0739,0.0119
2024-06-15 09:22:52,56.522699,-5.429531,0.1422,0.0311,0.1051,0.0044,0.1801,0.0816
2024-06-15 09:24:54,56.495352,-5.396807,0.1327,0.1007,0.163,0.0524,0.1616,0.0607
2024-06-15 09:25:30,56.514427,-5.37568,0.1494,0.0489,0.1388,0.0828,0.25,0.0788
2024-06-15 09:25:33,56.521856,-5.414283,0.1497,0.0283,0.178,0.0814,0.2721,0.1144
2024-06-15 09:28:43,56.535196,-5.397265,0.1661,0.0255,0.1797,0.0842,0.1505,0.1376
2024-06-15 09:30:50,56.529806,-5.378358,0.1554,0.0444,0.1601,0.082,0.189,0.0125
2024-06-15 09:31:17,56.510319,-5.39276,0.2168,0.1295,0.2698,0.0252,0.2449,0.0366
2024-06-15 09:32:43,56.491239,-5.385806,0.0813,0.1138,0.1781,0.0074,0.1767,0.0476
2024-06-15 09:33:23,56.529369,-5.423514,0.1863,0.013,0.1704,0.1213,0.1377,0.0787
2024-06-15 09:34:49,56.529767,-5.416344,0.1657,0.0628,0.13,0.1248,0.2134,0.0729
2024-06-15 09:34:53,56.522074,-5.406019,0.2119,0.0669,0.2136,0.0801,0.2361,0.0892
2024-06-15 09:36:21,56.538127,-5.414072,0.1613,0.0742,0.1491,0.0391,0.129,0.0481
2024-06-15 09:39:28,56.50926,-5.395405,0.1643,0.1202,0.2906,0.0884,0.1541,0.0836
2024-06-15 09:40:09,56.527098,-5.389762,0.1404,0.0738,0.1621,0.0552,0.1652,0.1384
2024-06-15 09:43:33,56.525988,-5.411981,0.1354,0.0938,0.153,0.0926,0.2245,0.1072
