datetime,lat,lon,temperature,salinity,chlorophyll_a,ph,alkalinity
2024-06-15 09:30:00,56.490216,-5.430677,14.49,32.78,2.25,8.06,2265
2024-06-15 09:37:00,56.490602,-5.431028,14.4,32.66,2.31,8.07,2265
2024-06-15 09:44:00,56.488439,-5.430006,14.84,32.61,2.25,8.07,2253
2024-06-15 09:51:00,56.491296,-5.431519,14.46,32.6,2.23,8.04,2267
2024-06-15 09:58:00,56.491186,-5.409276,14.05,32.27,2.52,8.02,2250
2024-06-15 10:05:00,56.490307,-5.409684,14.33,32.12,2.63,8.04,2252
2024-06-15 10:12:00,56.491358,-5.409294,14.39,32.27,2.46,8.05,2250
2024-06-15 10:19:00,56.488444,-5.409264,14.24,32.47,2.69,8.08,2253
2024-06-15 10:26:00,56.489631,-5.39009,13.9,32.36,2.36,8.04,2263
2024-06-15 10:33:00,56.489869,-5.389749,14.13,32.47,1.92,8.08,2267
2024-06-15 10:40:00,56.490013,-5.391932,14.05,32.27,2.08,8.08,2248
2024-06-15 10:47:00,56.490227,-5.389909,14.0,32.32,2.46,8.09,2252
2024-06-15 10:54:00,56.489773,-5.369994,14.19,32.84,2.57,8.07,2254
2024-06-15 11:01:00,56.491573,-5.368989,14.34,32.69,2.13,8.06,2264
2024-06-15 11:08:00,56.489872,-5.370334,14.45,32.61,2.34,8.08,2259
2024-06-15 11:15:00,56.488521,-5.368817,14.36,32.52,1.99,8.09,2257
2024-06-15 11:22:00,56.501156,-5.429842,14.21,32.31,2.51,8.02,2259
2024-06-15 11:29:00,56.502518,-5.429651,14.17,32.23,2.58,8.02,2240
2024-06-15 11:36:00,56.502822,-5.430288,14.19,32.54,2.53,8.06,2262
2024-06-15 11:43:00,56.502746,-5.428009,14.27,32.35,2.7,8.08,2253
2024-06-15 11:50:00,56.50086,-5.408444,13.69,31.79,2.85,8.07,2236
2024-06-15 11:57:00,56.502542,-5.409802,13.68,31.88,2.9,8.11,2246
2024-06-15 12:04:00,56.502356,-5.409132,13.82,32.1,3.09,8.06,2250
2024-06-15 12:11:00,56.502567,-5.409781,13.79,32.05,2.84,8.09,2252
2024-06-15 12:18:00,56.501898,-5.391253,13.93,32.2,2.84,8.07,2250
2024-06-15 12:25:00,56.50309,-5.39123,13.76,31.96,2.89,8.06,2251
2024-06-15 12:32:00,56.5029,-5.390745,13.74,32.19,3.39,8.07,2254
2024-06-15 12:39:00,56.501361,-5.390789,14.04,32.0,2.4,8.05,2259
2024-06-15 12:46:00,56.502601,-5.373294,13.96,32.37,2.46,8.08,2269
2024-06-15 12:53:00,56.501543,-5.370809,14.2,32.42,2.22,8.08,2258
2024-06-15 13:00:00,56.502478,-5.371028,14.17,32.24,2.73,8.07,2262
2024-06-15 13:07:00,56.503071,-5.369537,14.32,32.35,2.32,8.07,2248
2024-06-15 13:14:00,56.515904,-5.430566,13.89,32.18,2.6,8.05,2236
2024-06-15 13:21:00,56.515059,-5.430195,13.9,32.11,2.19,8.09,2263
2024-06-15 13:28:00,56.514938,-5.42953,14.15,32.24,2.2,8.04,2246
2024-06-15 13:35:00,56.51489,-5.429673,14.08,32.24,2.45,8.05,2248
2024-06-15 13:42:00,56.513933,-5.409681,13.53,31.72,3.38,8.07,2248
2024-06-15 13:49:00,56.514546,-5.411863,13.74,31.78,3.3,8.07,2251
2024-06-15 13:56:00,56.515202,-5.409994,13.51,31.72,3.48,8.07,2250
2024-06-15 14:03:00,56.513583,-5.409226,13.18,31.6,3.04,8.03,2239
2024-06-15 14:10:00,56.513854,-5.390316,13.67,31.81,3.63,8.08,2232
2024-06-15 14:17:00,56.514952,-5.39011,13.41,31.6,3.42,8.09,2254
2024-06-15 14:24:00,56.515086,-5.390701,13.4,31.77,2.86,8.07,2249
2024-06-15 14:31:00,56.514113,-5.390889,13.64,31.68,3.33,8.06,2256
2024-06-15 14:38:00,56.514818,-5.370521,13.74,32.0,2.42,8.08,2252
2024-06-15 14:45:00,56.516114,-5.370614,14.28,32.3,2.82,8.04,2263
2024-06-15 14:52:00,56.515121,-5.370541,14.03,32.32,2.75,8.05,2260
2024-06-15 14:59:00,56.515998,-5.369522,13.94,32.15,2.62,8.06,2255
2024-06-15 15:06:00,56.527628,-5.428093,13.98,32.36,2.37,8.1,2243
2024-06-15 15:13:00,56.527985,-5.429331,14.21,32.21,2.55,8.06,2245
2024-06-15 15:20:00,56.526589,-5.430821,14.4,32.19,2.23,8.05,2255
2024-06-15 15:27:00,56.526166,-5.430874,14.16,32.56,2.13,8.05,2249
