lat,lon,date,current_velocity,current_velocity_sd,current_velocity_p95,shear_stress,heading_deg,n_ensembles,temperature,salinity,dissolved_oxygen,depth,slope,roughness,turbidity,chlorophyll_a,substrate_hardness,sediment_type,benthic_communities,biotope,fishing_intensity
56.246231,-5.520265,2025-08-05,0.0879,0.049,0.1756,0.020759,31.5,676,,,,,,,,,,,,,FALSE
56.247017,-5.51974,2025-08-05,0.0772,0.0535,0.1839,0.018083,29.0,1230,,,,,,,,,,,,,FALSE
56.247016,-5.519759,2025-08-05,0.0895,0.0369,0.1569,0.019104,28.9,23,,,,,,,,,,,,,FALSE
56.247074,-5.51966,2025-08-05,0.0846,0.0609,0.2169,0.021794,28.8,16,,,,,,,,,,,,,FALSE
56.247124,-5.519637,2025-08-05,0.0756,0.0486,0.176,0.016294,28.8,17,,,,,,,,,,,,,FALSE
56.247195,-5.51958,2025-08-05,0.0865,0.054,0.1828,0.021144,28.8,33,,,,,,,,,,,,,FALSE
56.247236,-5.519531,2025-08-05,0.0845,0.0557,0.203,0.020372,28.8,10,,,,,,,,,,,,,FALSE
56.24728,-5.519465,2025-08-05,0.088,0.0521,0.1883,0.021447,28.8,2442,,,,,,,,,,,,,FALSE
56.247281,-5.519442,2025-08-05,0.0937,0.0494,0.1861,0.023005,28.8,1987,,,,,,,,,,,,,FALSE
56.247388,-5.519376,2025-08-05,0.0929,0.0536,0.1857,0.023429,28.9,38,,,,,,,,,,,,,FALSE
56.247439,-5.519341,2025-08-05,0.0579,0.0273,0.0992,0.008238,28.7,10,,,,,,,,,,,,,FALSE
56.247505,-5.519295,2025-08-05,0.1145,0.0625,0.221,0.034837,29.7,198,,,,,,,,,,,,,FALSE
56.247524,-5.519403,2025-08-05,0.1613,0.0419,0.261,0.056818,31.8,30,,,,,,,,,,,,,FALSE
56.247542,-5.519482,2025-08-05,0.1193,0.0455,0.2087,0.03341,31.9,3716,,,,,,,,,,,,,FALSE
56.247557,-5.519487,2025-08-05,0.1171,0.043,0.2016,0.031879,31.9,3058,,,,,,,,,,,,,FALSE
56.247576,-5.519597,2025-08-05,0.1091,0.0435,0.1831,0.028228,31.7,67,,,,,,,,,,,,,FALSE
56.247585,-5.5197,2025-08-05,0.1263,0.054,0.2205,0.038579,31.8,53,,,,,,,,,,,,,FALSE
56.247607,-5.519799,2025-08-05,0.0947,0.0482,0.1851,0.023063,31.8,54,,,,,,,,,,,,,FALSE
56.247627,-5.519876,2025-08-05,0.0968,0.0494,0.1891,0.024166,31.8,124,,,,,,,,,,,,,FALSE
56.247673,-5.519629,2025-08-05,0.128,0.0381,0.217,0.03635,31.4,15,,,,,,,,,,,,,FALSE
56.247729,-5.519686,2025-08-05,0.1186,0.0399,0.2031,0.032055,31.6,58,,,,,,,,,,,,,FALSE
56.247778,-5.519684,2025-08-05,0.1188,0.0398,0.1963,0.032167,31.8,85,,,,,,,,,,,,,FALSE
56.247769,-5.519634,2025-08-05,0.1183,0.0338,0.1705,0.03098,31.8,69,,,,,,,,,,,,,FALSE
56.247797,-5.519794,2025-08-05,0.1303,0.0424,0.2471,0.038262,31.8,17,,,,,,,,,,,,,FALSE
56.247819,-5.519904,2025-08-05,0.1077,0.0228,0.1526,0.024751,31.9,13,,,,,,,,,,,,,FALSE
56.247837,-5.52,2025-08-05,0.1092,0.0415,0.2042,0.027683,31.9,12,,,,,,,,,,,,,FALSE
56.247847,-5.520076,2025-08-05,0.0875,0.0195,0.1149,0.016379,32.0,9,,,,,,,,,,,,,FALSE
56.247852,-5.520127,2025-08-05,0.0835,0.0086,0.096,0.014414,31.9,7,,,,,,,,,,,,,FALSE
56.247897,-5.520211,2025-08-05,0.1075,0.038,0.1776,0.026624,31.7,58,,,,,,,,,,,,,FALSE
56.248005,-5.520242,2025-08-05,0.099,0.0407,0.1812,0.023452,31.9,77,,,,,,,,,,,,,FALSE
56.248023,-5.520256,2025-08-05,0.1191,0.0444,0.2195,0.033063,31.8,90,,,,,,,,,,,,,FALSE
56.2478,-5.520186,2025-08-05,0.1061,0.0222,0.1551,0.024057,31.4,23,,,,,,,,,,,,,FALSE
56.2477,-5.520183,2025-08-05,0.1193,0.0316,0.1711,0.031147,31.4,23,,,,,,,,,,,,,FALSE
56.247599,-5.520197,2025-08-05,0.1235,0.0279,0.144,0.032804,31.5,23,,,,,,,,,,,,,FALSE
56.2475,-5.520191,2025-08-05,0.1139,0.0418,0.1896,0.030126,31.8,114,,,,,,,,,,,,,FALSE
56.247409,-5.520206,2025-08-05,0.1241,0.0332,0.1949,0.033791,31.8,138,,,,,,,,,,,,,FALSE
56.247501,-5.520121,2025-08-05,0.1126,0.0362,0.1626,0.028544,32.0,23,,,,,,,,,,,,,FALSE
56.247579,-5.520065,2025-08-05,0.1106,0.0461,0.1991,0.029344,31.9,46,,,,,,,,,,,,,FALSE
56.247596,-5.52001,2025-08-05,0.135,0.0446,0.1935,0.04138,31.8,85,,,,,,,,,,,,,FALSE
56.247656,-5.519865,2025-08-05,0.1532,0.0222,0.1771,0.048936,31.8,5,,,,,,,,,,,,,FALSE
56.247687,-5.519796,2025-08-05,0.1426,0.0207,0.1897,0.042527,31.8,17,,,,,,,,,,,,,FALSE
56.247905,-5.519608,2025-08-05,0.0747,0.037,0.1434,0.014108,32.0,22,,,,,,,,,,,,,FALSE
56.248017,-5.519498,2025-08-05,0.1009,0.0401,0.1806,0.024077,31.9,35,,,,,,,,,,,,,FALSE
56.24808,-5.519496,2025-08-05,0.1396,0.0466,0.2288,0.04437,31.8,136,,,,,,,,,,,,,FALSE
56.248076,-5.519412,2025-08-05,0.1401,0.0456,0.2294,0.044446,31.8,86,,,,,,,,,,,,,FALSE
56.248168,-5.519408,2025-08-05,0.1516,0.045,0.2436,0.051168,31.6,32,,,,,,,,,,,,,FALSE
56.248198,-5.519503,2025-08-05,0.1103,0.0413,0.1927,0.028347,31.7,49,,,,,,,,,,,,,FALSE
56.248206,-5.519594,2025-08-05,0.1251,0.0306,0.1744,0.033929,31.7,42,,,,,,,,,,,,,FALSE
56.248291,-5.519581,2025-08-05,0.1355,0.0351,0.1902,0.040044,31.9,24,,,,,,,,,,,,,FALSE
56.248292,-5.519499,2025-08-05,0.1337,0.0261,0.1796,0.038027,31.8,39,,,,,,,,,,,,,FALSE
56.248303,-5.519411,2025-08-05,0.1334,0.0505,0.2308,0.041687,31.9,159,,,,,,,,,,,,,FALSE
56.248367,-5.519484,2025-08-05,0.1374,0.037,0.2133,0.041517,31.9,203,,,,,,,,,,,,,FALSE
56.248291,-5.519697,2025-08-05,0.1394,0.0258,0.1853,0.0411,32.0,13,,,,,,,,,,,,,FALSE
56.248275,-5.519797,2025-08-05,0.1536,0.0254,0.2117,0.049613,32.0,13,,,,,,,,,,,,,FALSE
56.248259,-5.519908,2025-08-05,0.163,0.0472,0.2415,0.058935,31.7,41,,,,,,,,,,,,,FALSE
56.248273,-5.519998,2025-08-05,0.147,0.0367,0.231,0.046995,31.6,40,,,,,,,,,,,,,FALSE
56.248193,-5.520001,2025-08-05,0.1332,0.0297,0.1923,0.038173,31.9,93,,,,,,,,,,,,,FALSE
56.24821,-5.520123,2025-08-05,0.1398,0.0433,0.2216,0.043924,32.0,377,,,,,,,,,,,,,FALSE
56.248143,-5.520102,2025-08-05,0.1501,0.0528,0.2454,0.051774,31.9,54,,,,,,,,,,,,,FALSE
56.248123,-5.52,2025-08-05,0.1607,0.0352,0.2242,0.055356,31.7,25,,,,,,,,,,,,,FALSE
56.248116,-5.519893,2025-08-05,0.1472,0.0242,0.1907,0.04561,31.6,34,,,,,,,,,,,,,FALSE
56.248123,-5.519796,2025-08-05,0.1496,0.0427,0.247,0.049575,31.7,80,,,,,,,,,,,,,FALSE
56.248112,-5.519699,2025-08-05,0.1431,0.0364,0.203,0.044695,31.9,106,,,,,,,,,,,,,FALSE
56.248096,-5.519599,2025-08-05,0.1349,0.0417,0.2028,0.040842,31.9,112,,,,,,,,,,,,,FALSE
56.248039,-5.519389,2025-08-05,0.1358,0.045,0.2175,0.041865,31.8,45,,,,,,,,,,,,,FALSE
56.248029,-5.5193,2025-08-05,0.1368,0.0363,0.2036,0.041036,31.8,93,,,,,,,,,,,,,FALSE
56.248014,-5.519198,2025-08-05,0.1338,0.0392,0.2042,0.039816,31.8,113,,,,,,,,,,,,,FALSE
56.248,-5.519104,2025-08-05,0.1365,0.0426,0.2272,0.041872,31.8,127,,,,,,,,,,,,,FALSE
56.248019,-5.519002,2025-08-05,0.1378,0.0455,0.2157,0.043097,31.8,67,,,,,,,,,,,,,FALSE
56.248013,-5.518901,2025-08-05,0.1332,0.0369,0.1938,0.039146,31.8,63,,,,,,,,,,,,,FALSE
56.248004,-5.518801,2025-08-05,0.1459,0.0411,0.2256,0.04703,31.7,64,,,,,,,,,,,,,FALSE
56.248011,-5.5187,2025-08-05,0.1394,0.038,0.2091,0.042807,31.8,265,,,,,,,,,,,,,FALSE
56.248203,-5.519806,2025-08-05,0.1394,0.0341,0.203,0.042189,31.7,66,,,,,,,,,,,,,FALSE
56.248177,-5.519899,2025-08-05,0.1439,0.0319,0.2103,0.044507,31.8,86,,,,,,,,,,,,,FALSE
56.248224,-5.52018,2025-08-05,0.1367,0.0387,0.2042,0.041352,31.9,349,,,,,,,,,,,,,FALSE
56.248246,-5.520273,2025-08-05,0.1359,0.0238,0.1778,0.038926,31.5,12,,,,,,,,,,,,,FALSE
56.248291,-5.520309,2025-08-05,0.1331,0.0436,0.2471,0.040148,31.4,56,,,,,,,,,,,,,FALSE
56.248293,-5.520388,2025-08-05,0.1321,0.0414,0.221,0.039246,31.4,81,,,,,,,,,,,,,FALSE
56.248297,-5.520201,2025-08-05,0.1278,0.0352,0.1924,0.035973,31.4,38,,,,,,,,,,,,,FALSE
56.248287,-5.520101,2025-08-05,0.1114,0.03,0.1674,0.027232,31.6,39,,,,,,,,,,,,,FALSE
56.248207,-5.5197,2025-08-05,0.1242,0.03,0.1736,0.033432,31.6,41,,,,,,,,,,,,,FALSE
56.24808,-5.519295,2025-08-05,0.138,0.0325,0.193,0.041166,31.8,33,,,,,,,,,,,,,FALSE
56.247946,-5.519061,2025-08-05,0.1435,0.0306,0.1873,0.043758,31.7,5,,,,,,,,,,,,,FALSE
56.247929,-5.518998,2025-08-05,0.1361,0.0326,0.192,0.040101,31.7,46,,,,,,,,,,,,,FALSE
56.247911,-5.518924,2025-08-05,0.1465,0.0324,0.213,0.046123,31.7,71,,,,,,,,,,,,,FALSE
56.248119,-5.519208,2025-08-05,0.1271,0.052,0.2411,0.038491,31.8,34,,,,,,,,,,,,,FALSE
56.247999,-5.518633,2025-08-05,0.1376,0.0355,0.195,0.041386,31.8,67,,,,,,,,,,,,,FALSE
56.248059,-5.518706,2025-08-05,0.1422,0.0368,0.2231,0.044162,31.9,35,,,,,,,,,,,,,FALSE
56.248075,-5.518802,2025-08-05,0.1446,0.0342,0.2125,0.045191,31.8,26,,,,,,,,,,,,,FALSE
56.248091,-5.518901,2025-08-05,0.1511,0.0378,0.2202,0.049628,31.8,26,,,,,,,,,,,,,FALSE
56.248107,-5.519001,2025-08-05,0.1746,0.0463,0.2565,0.066686,31.9,26,,,,,,,,,,,,,FALSE
56.248124,-5.5191,2025-08-05,0.1338,0.0327,0.188,0.038796,31.9,25,,,,,,,,,,,,,FALSE
56.248157,-5.519313,2025-08-05,0.1569,0.0542,0.3397,0.056199,31.6,20,,,,,,,,,,,,,FALSE
56.248345,-5.52049,2025-08-05,0.1437,0.0317,0.2451,0.044268,31.4,20,,,,,,,,,,,,,FALSE
56.248373,-5.520544,2025-08-05,0.1304,0.0567,0.2314,0.041019,32.0,16,,,,,,,,,,,,,FALSE
56.248378,-5.52059,2025-08-05,0.1292,0.0442,0.217,0.038238,32.0,775,,,,,,,,,,,,,FALSE
56.248348,-5.520635,2025-08-05,0.1524,0.0488,0.2384,0.05153,31.6,5,,,,,,,,,,,,,FALSE
56.247842,-5.517941,2025-08-05,0.112,0.0521,0.2063,0.031245,36.8,239,,,,,,,,,,,,,FALSE
