lat,lon,date,temperature,salinity,dissolved_oxygen,depth,current_velocity,shear_stress,chlorophyll_a,turbidity,slope,roughness,substrate_hardness,sediment_type,benthic_communities,biotope,fishing_intensity,ph,alkalinity
50.2423,-4.1195,2024-01-12,7.1,34.8,9.3,67.9,0.04,0.04,NA,0.5,4.8,0.96,0.1,silt,none_recorded,muddy_biotope,FALSE,8.05,2270
50.2507,-4.1703,2024-01-12,6.8,35.3,9.2,49.9,0.08,0.12,NA,3.4,4.1,1.01,0.28,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.08,2278
50.2594,-4.1006,2024-01-12,8.1,34.9,9.2,49.9,0.01,0.03,NA,3.7,20.2,1.02,0.26,fine_sand,none_recorded,fine_sand_biotope,FALSE,8.07,2276
50.2691,-4.1402,2024-01-12,7.8,35.2,8.8,41.9,0.03,0.07,NA,3.9,20.2,1.07,0.37,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.1,2290
50.2838,-4.1535,2024-01-12,8.5,34.9,9.2,34.9,0.12,0.14,NA,6.7,17.4,1.06,0.48,medium_sand,sparse,sandy_gravel,FALSE,8.11,2276
50.2881,-4.136,2024-01-12,7.8,34.9,9.0,34.9,0.13,0.19,NA,6.7,15.0,1.07,0.49,medium_sand,sparse,sandy_gravel,FALSE,8.11,2273
50.2941,-4.14,2024-01-12,8.3,35.8,8.8,34.9,0.06,0.03,NA,5.1,15.4,1.08,0.45,medium_sand,sparse,sandy_gravel,FALSE,8.1,2295
50.2943,-4.1551,2024-01-12,7.4,35.4,9.0,34.9,0.09,0.14,NA,3.3,19.1,1.08,0.47,medium_sand,sparse,sandy_gravel,FALSE,8.1,2270
50.2962,-4.1232,2024-01-12,8.3,34.6,8.9,27.9,0.15,0.19,NA,5.2,7.0,1.17,0.59,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.1,2282
50.3007,-4.1125,2024-01-12,8.2,35.6,8.5,27.9,0.11,0.14,NA,7.5,12.3,1.16,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.13,2281
50.3031,-4.1468,2024-01-12,8.5,34.8,9.4,27.9,0.22,0.25,NA,8.2,15.3,1.12,0.58,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2258
50.3036,-4.1477,2024-01-12,8.0,35.2,8.8,27.9,0.17,0.23,NA,7.5,20.8,1.16,0.62,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.09,2279
50.3042,-4.1475,2024-01-12,8.5,35.0,8.7,27.9,0.15,0.2,NA,3.7,17.2,1.15,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2291
